Console,GameName,Review,Score,Score_Category
DC,Vampire Chronicles Review,Good,7,Good (7-7.9)
PC,Maximum Pool Review,Fair,6,Fair (6-6.9)
PS,Bomberman Party Edition Review,Good,7,Good (7-7.9)
PC,Reach for the Stars Review,Fair,6,Fair (6-6.9)
GBC,Blaster Master Enemy Below Review,Great,8,Great (8-8.9)
PC,Who Wants to Beat Up a Millionaire Review,Mediocre,5,Mediocre (5-5.9)
PC,Radio Control Racers Deluxe: Traxxas Edition Review,Good,7,Good (7-7.9)
PS,Tyco RC Assault with a Battery Review,Fair,6,Fair (6-6.9)
DC,Demolition Racer: No Exit Review,Good,7,Good (7-7.9)
PC,The Dukes of Hazzard: Racing for Home Review,Poor,4,Poor (4-4.9)
PS,Muppet Race Mania Review,Mediocre,5,Mediocre (5-5.9)
N64,Ogre Battle 64 Review,Superb,9,Excellent (9-10)
DC,Test Drive V-Rally Review,Great,8,Great (8-8.9)
PS,Spin Jam Review,Fair,6,Fair (6-6.9)
PS,NHL 2001 Review,Great,8,Great (8-8.9)
PC,Wizards & Warriors Review,Good,7,Good (7-7.9)
DC,Sydney 2000 Review,Mediocre,5,Mediocre (5-5.9)
DC,NFL Blitz 2001 Review,Superb,9,Excellent (9-10)
N64,NFL Blitz 2001 Review,Great,8,Great (8-8.9)
PS,Destruction Derby Raw Review,Good,7,Good (7-7.9)
PS,RPG Maker Review,Fair,6,Fair (6-6.9)
DC,Railroad Tycoon II Review,Good,7,Good (7-7.9)
PC,Blair Witch Volume 1: Rustin Parr Review,Good,7,Good (7-7.9)
PC,Midtown Madness 2 Review,Great,8,Great (8-8.9)
PS,World Destruction League: Thunder Tanks Review,Terrible,2,Terrible (2-2.9)
DC,Caesar's Palace 2000 Review,Terrible,2,Terrible (2-2.9)
PS,"Army Men World War: Land, Sea, Air Review",Fair,6,Fair (6-6.9)
PC,Panzer General III: Scorched Earth Review,Mediocre,5,Mediocre (5-5.9)
